^2026^|^01^|^330171^|^015^|^08^|^WA^|^4715^|^2^|4876000000|^1^|^53^|0|0|228986784|1046227279|156499999|174740000|374997994|374997994|374997994|374997994|374997994|1394555968|0|0|4.7|21.46|3.21|3.58|7.69|7.69|7.69|7.69|7.69|28.6|0|0|1|1|1|1|1|1|1|1|1|1|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^330171^|^015^|^08^|^WA^|^4722^|^2^|1963000|^1^|^52^|0|0|0|158989|158989|158989|158989|158989|158989|158989|158989|691088|0|0|0|8.1|8.1|8.1|8.1|8.1|8.1|8.1|8.1|35.21|0|0|0|1|1|1|1|1|1|1|1|1|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^330171^|^015^|^08^|^CD^|^6213^|^2^|112002000|^1^|^52^|0|6457800|17425000|8677483|8677483|9677482|8677483|8677483|8677483|8677483|8677483|17699337|0|5.77|15.56|7.75|7.75|8.64|7.75|7.75|7.75|7.75|7.75|15.8|0|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^330171^|^015^|^08^|^WA^|^4718^|^2^|36204000|^1^|^52^|0|7635999|0|3016175|3016175|3016175|3016175|3016175|3016175|3016175|2629999|4824777|0|21.09|0|8.33|8.33|8.33|8.33|8.33|8.33|8.33|7.26|13.33|0|1|0|1|1|1|1|1|1|1|1|1|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^330171^|^015^|^08^|^CD^|^6215^|^2^|1672000|^1^|^52^|0|0|0|136717|136717|136717|136717|136717|136717|136717|136717|578264|0|0|0|8.18|8.18|8.18|8.18|8.18|8.18|8.18|8.18|34.59|0|0|0|1|1|1|1|1|1|1|1|1|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^330171^|^015^|^08^|^WA^|^4715^|^2^|1446857000|^1^|^52^|40000000|256088477|85763981|152356115|267891996|99356125|100891996|98356125|100891996|98356125|101238748|45665316|2.76|17.7|5.93|10.53|18.52|6.87|6.97|6.8|6.97|6.8|7|3.16|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^330171^|^015^|^08^|^CD^|^6216^|^2^|1360000|^1^|^52^|0|0|0|0|0|0|0|0|0|0|0|1360000|0|0|0|0|0|0|0|0|0|0|0|100|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^330171^|^015^|^08^|^CD^|^6212^|^2^|81041000|^1^|^52^|0|6741000|0|5693671|5693671|5693671|5693671|5693671|5693671|5693671|5547077|28897226|0|8.32|0|7.03|7.03|7.03|7.03|7.03|7.03|7.03|6.84|35.66|0|1|0|1|1|1|1|1|1|1|1|1|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^439165^|^015^|^08^|^CD^|^6216^|^1^|1996295000|^1^|^52^|4331999|8864000|443599999|231320350|31328764|347937668|4000000|261480000|4000000|287079565|4000000|368352655|0.22|0.44|22.22|11.59|1.57|17.43|0.2|13.1|0.2|14.38|0.2|18.45|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|^ ^|^ ^|0|0
^2026^|^01^|^439165^|^015^|^08^|^WA^|^4715^|^1^|491827000|^1^|^52^|8001510|28138773|54095259|37331742|26835999|65766999|26673999|47706120|26173999|26373999|31823999|112904602|1.63|5.72|11|7.59|5.46|13.37|5.42|9.7|5.32|5.36|6.47|22.96|1|1|1|1|1|1|1|1|1|1|1|1|0|0|0|0|^ ^|^ ^|0|0
